Date,Open,High,Low,Close,Adj Close,Volume
2010-11-01,164.449997,181.839996,156.770004,175.399994,175.399994,131011400
2010-12-01,179.160004,185.649994,173.089996,180.000000,180.000000,93661700
2011-01-01,181.369995,191.600006,166.899994,169.639999,169.639999,113611300
2011-02-01,170.520004,191.399994,169.509995,173.289993,173.289993,95776400
2011-03-01,173.529999,181.570007,160.589996,180.130005,180.130005,118979100
2011-04-01,181.580002,197.800003,175.369995,195.809998,195.809998,116749400
2011-05-01,196.570007,206.389999,190.880005,196.690002,196.690002,106274500
2011-06-01,196.059998,206.250000,181.589996,204.490005,204.490005,95563700
2011-07-01,205.550003,227.199997,203.610001,222.520004,222.520004,92808500
2011-08-01,225.000000,227.449997,177.100006,215.229996,215.229996,155194700
2011-09-01,215.279999,244.000000,204.470001,216.229996,216.229996,143623300
2011-10-01,217.009995,246.710007,196.509995,213.509995,213.509995,159214400
2011-11-01,208.110001,222.350006,181.509995,192.289993,192.289993,136588100
2011-12-01,191.850006,199.660004,166.970001,173.100006,173.100006,125595200
2012-01-01,175.889999,196.500000,173.500000,194.440002,194.440002,110536900
2012-02-01,173.809998,193.570007,172.000000,179.690002,179.690002,146580400
2012-03-01,179.889999,209.850006,176.580002,202.509995,202.509995,112975100
2012-04-01,198.020004,233.839996,183.649994,231.899994,231.899994,110535400
2012-05-01,229.399994,232.970001,207.110001,212.910004,212.910004,92774300
2012-06-01,208.440002,228.350006,206.369995,228.350006,228.350006,65745600
2012-07-01,229.300003,240.740005,212.610001,233.300003,233.300003,77340200
2012-08-01,234.139999,250.000000,228.660004,248.270004,248.270004,60192400
2012-09-01,248.270004,264.109985,244.660004,254.320007,254.320007,63570500
2012-10-01,255.399994,261.899994,222.919998,232.889999,232.889999,81568500
2012-11-01,234.229996,252.649994,218.179993,252.050003,252.050003,67213600
2012-12-01,252.539993,263.109985,242.750000,250.869995,250.869995,60871200
