Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,147.210007,148.199997,147.139999,147.479996,114.021500,4603800
2011-01-04,147.559998,148.220001,146.639999,147.639999,114.145218,5060100
2011-01-05,147.339996,147.479996,146.729996,147.050003,113.689026,4657400
2011-01-06,147.130005,148.789993,146.820007,148.660004,114.933815,5029200
2011-01-07,148.789993,148.860001,146.940002,147.929993,114.369392,4135700
2011-01-10,147.580002,148.059998,147.229996,147.639999,114.145218,3633400
2011-01-11,148.199997,148.350006,146.750000,147.279999,113.866859,4163600
2011-01-12,147.990005,149.289993,147.669998,149.100006,115.273956,4091500
2011-01-13,149.240005,149.289993,148.250000,148.820007,115.057472,3445800
2011-01-14,148.889999,150.000000,148.470001,150.000000,115.969803,4544200
2011-01-18,149.820007,151.460007,149.380005,150.649994,116.472336,9176900
2011-01-19,153.259995,156.130005,152.830002,155.690002,120.368904,12141000
2011-01-20,154.529999,155.960007,154.449997,155.800003,120.453926,7439900
2011-01-21,156.399994,156.779999,154.960007,155.500000,120.222023,7009000
2011-01-24,155.419998,159.789993,155.330002,159.630005,123.415054,7285100
2011-01-25,159.210007,164.350006,159.000000,161.440002,124.814461,8260800
2011-01-26,161.669998,161.899994,160.419998,161.039993,124.505173,5353100
2011-01-27,161.429993,162.179993,160.860001,161.070007,124.528336,4878300
2011-01-28,161.050003,161.919998,158.669998,159.210007,123.090302,6725600
2011-01-31,159.179993,162.000000,158.679993,162.000000,125.247375,7197200
2011-02-01,162.110001,163.940002,162.000000,163.559998,126.453468,5831300
2011-02-02,163.399994,163.600006,162.610001,163.300003,126.252464,3904000
2011-02-03,163.160004,164.199997,162.809998,163.529999,126.430244,4683400
2011-02-04,163.479996,164.139999,163.220001,164.000000,126.793686,3755200
2011-02-07,164.080002,164.990005,164.020004,164.820007,127.427620,4928100
2011-02-08,164.820007,166.250000,164.320007,166.050003,128.886841,5612600
2011-02-09,165.619995,165.970001,164.100006,164.649994,127.800179,4633600
2011-02-10,163.899994,165.000000,163.179993,164.089996,127.365524,5737800
2011-02-11,163.979996,165.009995,163.309998,163.850006,127.179276,5185200
2011-02-14,164.179993,164.380005,162.850006,163.220001,126.690254,4129800
2011-02-15,162.889999,163.570007,162.520004,162.839996,126.395248,3768700
2011-02-16,163.330002,163.600006,162.750000,163.399994,126.829941,3216000
2011-02-17,163.300003,164.669998,162.850006,164.240005,127.481972,3230500
2011-02-18,164.460007,164.839996,164.100006,164.839996,127.947647,4245000
2011-02-22,163.570007,164.259995,161.779999,161.949997,125.704468,5209300
2011-02-23,161.809998,162.679993,160.139999,160.179993,124.330597,5998100
2011-02-24,159.630005,161.270004,159.029999,160.770004,124.788551,5707500
2011-02-25,161.059998,162.339996,160.860001,162.279999,125.960571,4518400
2011-02-28,162.360001,162.990005,161.240005,161.880005,125.650162,4773000
2011-03-01,163.149994,163.149994,159.880005,159.970001,124.167564,4382800
2011-03-02,159.429993,161.110001,159.410004,160.160004,124.315117,3413000
